제품명,Codex 분류 메모,Figma 노출 순서,Figma 반영 상태,SERKAN Code,검수 상태,공식 링크,등록일,분류 확신도,브랜드,세르칸핏,연결 섹션 코드,이미지 상태,제품 사진,제품군,추천 대상,추천 이유 한 줄,카테고리,태그,트렌드 근거,협찬 가능성
라운드어라운드 그린티 시카 크림,,,,SR26-SK-BR-P105,검수 필요,https://roundaround.co.kr,2026년 5월 30일 오후 2:22,,Round A'Round,3,,일반 제품컷 있음,https://sitem.ssgcdn.com/85/70/32/item/1000569327085_i1_1200.jpg,장벽케어,,,피부관리,,훅: 녹차·시카로 가볍게 진정 / 문제: 운동 후 열감과 붉은기가 오래 감 / 각도: 운동 후 진정 보습 슬롯 / 근거: 라운드어라운드는 올리브영 기반 녹차·시카 라인 인지도가 있어 남성 입문성이 좋음 / 포지션: 가성비 / 대상: 운동 후 열감 있는 남성 / 연결: SR26-SK-BR-M1 장벽/보습 루틴,높음
아이오페 레티놀 엑스퍼트,,,,SR26-SK-SA-P104,검수 필요,https://www.iope.com,2026년 5월 30일 오후 2:22,,IOPE,5,,일반 제품컷 있음,https://sitem.ssgcdn.com/69/78/49/item/2097001497869_i1_1200.jpg,슬로우에이징,,,피부관리,,훅: 30대 남성의 첫 레티놀 / 문제: 모공·잔주름 관리는 늦게 시작할수록 티가 남 / 각도: 밤 루틴에 넣는 슬로우에이징 핵심 슬롯 / 근거: 아이오페는 국내 레티놀 연구와 기능성 안티에이징 인지도가 강함 / 포지션: 투자 / 대상: 30대 이상 남성 / 연결: SR26-SK-BR-M1 장벽/보습 루틴,낮음
디어클레어스 프레쉴리 주스드 비타민 드롭,,,,SR26-SK-SA-P107,검수 필요,https://www.klairscosmetics.com,2026년 5월 30일 오후 2:22,,Dear Klairs,4,,일반 제품컷 있음,https://image.msscdn.net/images/goods_img/20240412/4049628/4049628_17320708093029_500.jpg,슬로우에이징,,,피부관리,,훅: 민감피부도 시작하는 비타민 세럼 / 문제: 비타민C는 따갑고 어려워 보여 미루게 됨 / 각도: 낮은 장벽 부담의 브라이트닝 입문 슬롯 / 근거: 클레어스 비타민드롭은 글로벌 K-뷰티 비타민C 입문 제품으로 알려짐 / 포지션: 입문자 / 대상: 민감하지만 칙칙함이 고민인 남성 / 연결: SR26-SK-BR-M1 장벽/보습 루틴,보통
프리메라 오가니언스 베리어 리페어 크림,,,,SR26-SK-BR-P110,검수 필요,https://www.primera.com,2026년 5월 30일 오후 2:22,,Primera,3,,누끼/단독컷 있음,https://images-kr.amoremall.com/products/1780014374898/110640000716/110640000716_00.png?1780014375867,장벽케어,,,피부관리,,훅: 식물성 장벽 크림으로 루틴 정리 / 문제: 보습제는 많은데 데일리로 오래 쓸 제품이 필요 / 각도: 자연주의 장벽 케어 슬롯 / 근거: 프리메라는 국내 자연주의 스킨케어 인지도와 장벽 라인 확장성이 있음 / 포지션: 밸런스 / 대상: 순한 데일리 크림 선호 남성 / 연결: SR26-SK-BR-M1 장벽/보습 루틴,보통
바이위시트렌드 만델릭애씨드 5% 스킨 프렙 워터,,,,SR26-SK-SA-P108,검수 필요,https://bywishtrend.com,2026년 5월 30일 오후 2:22,,By Wishtrend,4,,누끼/단독컷 있음,https://cdn.modarak.com/products/by-wishtrend-mandelic-acid-5-skin-prep-water-120ml.png,슬로우에이징,,,피부관리,,훅: 거친 피부결을 천천히 정리 / 문제: 스크럽은 자극적이고 각질은 계속 쌓임 / 각도: 저강도 산 토너 슬롯 / 근거: 위시트렌드 만델릭 토너는 각질 케어 입문 제품으로 해외 K-뷰티 커뮤니티 회자도가 있음 / 포지션: 피부타입특화 / 대상: 민감한 각질 고민 남성 / 연결: SR26-SK-BR-M1 장벽/보습 루틴,보통
제로이드 인텐시브 크림,,,,SR26-SK-BR-P109,검수 필요,https://www.zeroid.co.kr,2026년 5월 30일 오후 2:22,,ZEROID,5,,누끼/단독컷 있음,https://dn5hzapyfrpio.cloudfront.net/product/af8/af8672c0-d49e-11ef-b7a5-27ddae6ebd72.jpeg,장벽케어,,,피부관리,,훅: 피부과 보습제 느낌의 장벽 크림 / 문제: 예민해진 피부엔 화려한 스킨케어보다 회복이 우선 / 각도: 시술·면도 후 장벽 리셋 슬롯 / 근거: 제로이드는 병의원 유통 인지도가 강한 더마 보습 브랜드 / 포지션: 투자 / 대상: 장벽 손상 경험이 있는 남성 / 연결: SR26-SK-BR-M1 장벽/보습 루틴,보통
빌리프 더 트루 크림 아쿠아 밤,,,,SR26-SK-BR-P112,검수 필요,https://www.belifcosmetic.com,2026년 5월 30일 오후 2:22,,belif,4,,누끼/단독컷 있음,https://cdn.011st.com/11dims/resize/600x600/quality/75/11src/cat/25/7/6/9/9/4/9/QeEcc/411769949_1.jpg,장벽케어,,,피부관리,,훅: 번들거림 적은 수분 폭탄 크림 / 문제: 남성 피부는 보습제를 바르면 금방 답답해짐 / 각도: 산뜻한 젤 크림 보습 슬롯 / 근거: 빌리프 아쿠아밤은 수분 크림 카테고리에서 장기 스테디셀러로 알려짐 / 포지션: 밸런스 / 대상: 수분 부족 지성 남성 / 연결: SR26-SK-BR-M1 장벽/보습 루틴,보통
K18 리브-인 몰레큘러 리페어 헤어 마스크 50ml,,,,SR26-GR-HC-P001,검수 필요,https://www.k18hair.com/products/leave-in-molecular-repair-hair-mask-50-ml,2026년 5월 30일 오후 2:25,,K18,4,,일반 제품컷 있음,https://www.k18hair.com/cdn/shop/files/K18_LeaveInMask_50ml.jpg?v=1687869421&width=3600,헤어케어,,,스타일관리,,"훅: ‘머릿결’은 꾸밈이 아니라 인상 정돈이다 / 문제: 푸석·부스스함이 피곤해 보이는 인상을 강화 / 각도: 샴푸 후 4분 루틴으로 머리결/광택을 통제 / 근거: 살롱급 홈케어 니즈가 커지고, 남성도 헤어 퀄리티로 ‘정돈감’이 드러나 협찬/콘텐츠화 여지가 큼",보통
Perspirex Original 롤온 데오드란트(안티퍼스퍼런트),,,,SR26-BD-BC-P035,검수 필요,https://www.perspirex.co.uk/our-products/perspirex-original,2026년 5월 30일 오후 2:25,,Perspirex,4,,누끼/단독컷 있음,https://www.perspirex.de/wp-content/uploads/sites/57/2021/11/perspirex-original_-600x387.jpg,바디케어,,,위생관리,,훅: 땀/체취를 ‘관리’가 아니라 ‘통제’하는 루틴 / 문제: 여름·운동·긴장 상황에서 체취/땀으로 인상 하락 / 각도: 남자의 첫인상은 향보다 먼저 ‘체취 관리’에서 결정 / 근거: 강력 안티퍼스퍼런트는 루틴형 반복 사용에 적합하고 출근·데이트·운동 컨디션 관리 콘텐츠로 확장 가능,보통
닥터지 포어 블러 업 선 50mL,,,,SR26-SK-SS-P113,검수 필요,https://www.dr-g.co.kr/item/9630,2026년 5월 30일 오후 2:25,,닥터지,4,,일반 제품컷 있음,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020063618ko.jpg,선케어,,,피부관리,,"훅: 선크림은 피부보호가 아니라 ‘피곤해 보이는 얼굴’ 정리 / 문제: 번들거림·모공·붉은기·톤 불균형으로 컨디션이 내려가 보임 / 각도: 아침 1분 베이스 루틴으로 얼굴 컨디션을 ‘정돈’ / 근거: 남성 선케어가 일상 루틴으로 자리잡았고, 블러/톤정리 계열은 메이크업 티 없이 인상 관리로 번역 가능",높음
Therabody Theragun mini 2.0 (마사지건),,,,SR26-BD-FT-P041,검수 필요,https://therabody.jp/products/theragun-mini-2,2026년 5월 30일 오후 2:25,,Therabody,5,,누끼/단독컷 있음,https://therabody.jp/cdn/shop/files/mini2black_main.png?v=1721896310&width=900,운동회복,,,바디관리,,"훅: 운동이 아니라 ‘회복’이 몸을 바꾼다 / 문제: 뭉침·피로 누적으로 자세/표정/컨디션이 무너짐 / 각도: 매일 5분 회복 루틴으로 다음날 컨디션을 설계 / 근거: 리커버리 디바이스는 반복 사용·루틴보드화가 쉽고, 운동/자세/수면 콘텐츠 시리즈와 협찬 확장성이 강함",높음
FOREO LUNA 4 MEN 클렌징 & 펌밍 디바이스,,,,SR26-SK-DV-P001,검수 필요,https://www.foreo.com/luna-men-collection,2026년 5월 30일 오후 2:25,,FOREO,4,,누끼/단독컷 있음,https://assets.foreo.com/files/static/2025-12/ecomm_LUNA-4-men_1.webp,홈케어디바이스,,,피부관리,,"훅: 세안이 바뀌면 ‘피부 컨디션’이 아니라 ‘인상’이 바뀐다 / 문제: 유분·각질·면도 트러블로 피부가 거칠고 피곤해 보임 / 각도: 샤워 루틴에 넣는 2분 세안+면도 준비로 피부 결을 정돈 / 근거: 남성 홈케어/디바이스 진입이 늘고, 세안-면도-선케어 루틴으로 묶기 쉬워 콘텐츠/협찬 확장성이 높음",높음
NONFICTION 가이악플라워 오 드 퍼퓸,,,,SR26-GR-FR-P001,검수 필요,https://int.nonfiction.com/products/gaiac-flower-parfum,2026년 5월 30일 오후 2:25,,NONFICTION,5,,일반 제품컷 있음,https://beyond-designations-htv4x3kiygcq6573ucg.vusercontent.net/placeholderImages/cd34df55-e105-479a-81b8-363613a457b0.webp?width=500,향수,,,스타일관리,,"훅: 향은 취향이 아니라 ‘첫인상 통제’다 / 문제: 무향·체취·섬유향 뒤섞임으로 인상 일관성이 무너짐 / 각도: 남자 향 루틴(출근/데이트/모임)으로 캐릭터를 고정 / 근거: 국내 니치 향수 수요가 커졌고, 룩·헤어·바디케어와 묶어 루틴 콘텐츠/협찬 패키지로 확장 가능",높음
Crep Protect Cure (스니커즈 클리너 키트),,,,SR26-ST-WC-P001,검수 필요,https://crepprotect.com/products/cure,2026년 5월 30일 오후 2:25,,Crep Protect,4,,일반 제품컷 있음,https://uk.crepprotect.com/cdn/shop/files/Untitleddesign_40.jpg?v=1725426007&width=1500,의류관리,,,스타일관리,,"훅: 신발이 더러우면 ‘자기관리’가 설득력을 잃는다 / 문제: 스니커즈 오염·냄새가 전체 룩의 정돈감을 무너뜨림 / 각도: 주 1회 10분 ‘신발 리셋’로 깔끔한 사람을 유지 / 근거: 남성 스타일 루틴에서 신발/가방 관리 니즈가 높고, 전후 비교 콘텐츠가 강해 루틴보드/협찬 확장에 유리",보통
닥터포헤어 폴리젠 씨솔트 스케일러,,,,SR26-GR-SC-P001,검수 필요,https://drforhair.com/ko/products/folligen-sea-salt-scaler,2026년 5월 30일 오후 2:25,,닥터포헤어,5,,누끼/단독컷 있음,https://cdn.shopify.com/s/files/1/0322/8258/4525/files/1_92d1f0d2-acde-432c-acde-43cbe51c6b8e.png?v=1732160087,두피케어,,,스타일관리,,훅: ‘머리 감아도 찝찝한 두피’를 정리하는 주 1회 리셋 / 문제: 유분·각질·냄새로 청결감/헤어 볼륨이 무너짐 / 각도: 남자 인상은 피부보다 ‘두피·정수리 컨디션’이 먼저 무너진다 / 근거: 두피 스케일링은 루틴화(주간) 가능하고 헤어/탈모 관심사와 맞물려 콘텐츠·협찬 확장성이 큼,높음
라도르 더마티컬 탈모 샴푸,,,,SR26-GR-SC-P107,검수 필요,https://lador.co.kr,2026년 5월 30일 오후 2:26,,La'dor,4,,누끼/단독컷 있음,https://images.prom.ua/4099468617_w700_h500_shampun-protiv-vypadeniya.jpg,두피케어,,,스타일관리,,훅: 살롱 브랜드 감성의 두피 샴푸 / 문제: 기능성 샴푸는 투박하다는 인식이 있음 / 각도: 기능성과 헤어케어 이미지를 같이 잡는 슬롯 / 근거: 라도르는 헤어케어 전문 K-뷰티 브랜드로 국내외 유통이 넓음 / 포지션: 밸런스 / 대상: 두피와 모발 컨디션을 같이 보는 남성 / 연결: SR26-GR-SC-M1 두피 컨디션 루틴,높음
라보에이치 두피강화 샴푸,,,,SR26-GR-SC-P104,검수 필요,https://www.labo-h.com,2026년 5월 30일 오후 2:26,,LABO-H,5,,누끼/단독컷 있음,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0015/A00000015247509ko.jpg?l=ko,두피케어,,,스타일관리,,훅: 올리브영 탈모샴푸 대표 후보 / 문제: 샴푸 선택을 탈모 기능성 기준으로 보고 싶음 / 각도: 두피 강화 샴푸 핵심 슬롯 / 근거: 라보에이치는 국내 탈모 기능성 샴푸 카테고리에서 강한 인지도를 확보 / 포지션: 밸런스 / 대상: 두피·탈모를 같이 걱정하는 남성 / 연결: SR26-GR-SC-M1 두피 컨디션 루틴,보통
TS 프리미엄 TS 샴푸,,,,SR26-GR-SC-P105,검수 필요,https://www.talmo.com,2026년 5월 30일 오후 2:26,,TS Shampoo,3,,일반 제품컷 있음,http://img.ticketmall.co.kr/bbbb/ptss.jpg,두피케어,,,스타일관리,,훅: 탈모샴푸 하면 떠오르는 대중 브랜드 / 문제: 기능성 샴푸를 어디서 시작할지 모름 / 각도: 인지도 높은 탈모샴푸 비교 슬롯 / 근거: TS샴푸는 국내 탈모샴푸 광고·유통 인지도가 높은 제품군 / 포지션: 입문자 / 대상: 기능성 샴푸 초보 남성 / 연결: SR26-GR-SC-M1 두피 컨디션 루틴,보통
이니스프리 레티놀 시카 리페어 앰플,,,,SR26-SK-SA-P109,검수 필요,https://www.innisfree.com,2026년 5월 30일 오후 2:26,,Innisfree,4,,일반 제품컷 있음,https://inm-cdn.innisfree.com/origin-image/product/product/00/00/10/21/78/f68a2a20-e1aa-4f9c-8a5f-1e7181fd34a4.jpg,슬로우에이징,,,피부관리,,훅: 레티놀 입문을 시카로 완충 / 문제: 레티놀은 효과보다 자극 걱정이 먼저 옴 / 각도: 트러블 흔적과 피부결을 동시에 보는 밤 앰플 / 근거: 이니스프리 레티놀 시카는 국내 레티놀 입문 제품으로 넓게 회자됨 / 포지션: 입문자 / 대상: 레티놀을 처음 쓰는 남성 / 연결: SR26-SK-BR-M1 장벽/보습 루틴,보통
랩시리즈 레이저 번 릴리프 울트라 애프터쉐이브,,,,SR26-BD-SH-P106,검수 필요,https://www.labseries.com,2026년 5월 30일 오후 2:26,,Lab Series,4,,누끼/단독컷 있음,https://davidjones.scene7.com/is/image/davidjones/20271820_1?$plp2x$,체모·면도,,,바디관리,,훅: 면도 후 화끈거림 전용 케어 / 문제: 애프터케어를 대충 하면 턱선 트러블이 반복됨 / 각도: 프리미엄 애프터쉐이브 트리트먼트 슬롯 / 근거: 랩시리즈는 남성 스킨케어 전문 포지션이 강해 면도 루틴 설득력이 좋음 / 포지션: 투자 / 대상: 턱선 트러블 남성 / 연결: SR26-BD-SH-M1 면도/애프터케어 루틴,낮음
니베아 맨 센서티브 쉐이빙 폼,,,,SR26-BD-SH-P104,검수 필요,https://www.nivea.co.kr,2026년 5월 30일 오후 2:26,,NIVEA Men,3,,일반 제품컷 있음,https://images-us.nivea.com/-/media/miscellaneous/media-center-items/0/d/e/280228-web_1010x1180_transparent_png.png?mw=777&hash=DB0AB539616BA7A38783C98B91FA5CC1,체모·면도,,,바디관리,,훅: 면도 자극을 줄이는 폼 기본템 / 문제: 비누 거품 면도는 마찰이 커짐 / 각도: 면도 전 쿠션을 만드는 저가 슬롯 / 근거: 니베아맨은 국내 남성 그루밍 대중 브랜드로 접근성이 높음 / 포지션: 가성비 / 대상: 면도폼을 따로 안 쓰는 남성 / 연결: SR26-BD-SH-M1 면도/애프터케어 루틴,보통
질레트 스킨가드 센서티브 면도기,,,,SR26-BD-SH-P103,검수 필요,https://gillette.com,2026년 5월 30일 오후 2:26,,Gillette,4,,누끼/단독컷 있음,https://images.ctfassets.net/4imhecai914h/1CjMpfWN04mjSJk3zzspTf/c42ed4061f2855af94d674cf3ffaa748/Gillette_20SkinGuard_20Sensitive_20Razor-sp_402x.png,체모·면도,,,바디관리,,훅: 민감 피부용 면도날 선택 / 문제: 밀착 면도 후 붉은 점과 따가움이 반복됨 / 각도: 피부 보호 바가 있는 저자극 면도 슬롯 / 근거: 질레트 스킨가드는 민감성 면도 포지션이 명확하고 한국 구매 접근성이 있음 / 포지션: 피부타입특화 / 대상: 면도 트러블이 잦은 남성 / 연결: SR26-BD-SH-M1 면도/애프터케어 루틴,낮음
쉬크 하이드로 5 센스 면도기,,,,SR26-BD-SH-P102,검수 필요,https://www.schick.com,2026년 5월 30일 오후 2:26,,Schick,4,,누끼/단독컷 있음,https://f.nooncdn.com/p/v1604602520/N41888780A_1.jpg,체모·면도,,,바디관리,,훅: 피부 부담을 줄이는 5중날 면도기 / 문제: 절삭력만 강하면 면도 후 따가움이 남음 / 각도: 보호 젤바 기반 민감 면도 슬롯 / 근거: 쉬크 하이드로 라인은 국내 대형 유통에서 쉽게 구매 가능한 글로벌 면도기 라인 / 포지션: 밸런스 / 대상: 면도 자극이 잦은 남성 / 연결: SR26-BD-SH-M1 면도/애프터케어 루틴,낮음
쿤달 카페인 두피케어 샴푸,,,,SR26-GR-SC-P103,검수 필요,https://kundal.co.kr,2026년 5월 30일 오후 2:26,,Kundal,3,,누끼/단독컷 있음,https://media.ulta.com/i/ulta/77006395,두피케어,,,스타일관리,,훅: 카페인 샴푸로 두피 활력 관리 / 문제: 두피가 축 처지고 머리카락이 힘없어 보임 / 각도: 가성비 두피 샴푸 슬롯 / 근거: 쿤달은 향·샴푸 대중 인지도와 온라인 협찬 적합성이 큼 / 포지션: 가성비 / 대상: 힘없는 모발 남성 / 연결: SR26-GR-SC-M1 두피 컨디션 루틴,높음
니베아 맨 센서티브 애프터쉐이브 밤,,,,SR26-BD-SH-P105,검수 필요,https://www.nivea.com,2026년 5월 30일 오후 2:26,,NIVEA Men,4,,일반 제품컷 있음,https://sitem.ssgcdn.com/71/72/89/item/1000541897271_i1_1200.jpg,체모·면도,,,바디관리,,훅: 면도 후 따가움 진정 밤 / 문제: 면도 직후 스킨만 바르면 건조와 화끈거림이 남음 / 각도: 애프터쉐이브 보습 입문 슬롯 / 근거: 니베아 센서티브 밤은 글로벌 남성 애프터쉐이브 대표 제품으로 구매 접근성이 좋음 / 포지션: 입문자 / 대상: 면도 후 건조한 남성 / 연결: SR26-BD-SH-M1 면도/애프터케어 루틴,보통
그라펜 루트 부스터 샴푸,,,,SR26-GR-SC-P106,검수 필요,https://grafen.co.kr,2026년 5월 30일 오후 2:26,,Grafen,4,,누끼/단독컷 있음,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/20180607/1528352860755.png,두피케어,,,스타일관리,,훅: 정수리 볼륨을 생각한 두피 샴푸 / 문제: 머리가 가라앉으면 얼굴형까지 피곤해 보임 / 각도: 두피 케어와 볼륨 인상 개선 연결 / 근거: 그라펜은 남성 헤어·두피 제품군을 꾸준히 운영해 콘텐츠 핏이 좋음 / 포지션: 밸런스 / 대상: 정수리 볼륨 고민 남성 / 연결: SR26-GR-SC-M1 두피 컨디션 루틴,높음
려 탈모증상전문케어 샴푸,,,,SR26-GR-SC-P101,검수 필요,https://www.ryo.com,2026년 5월 30일 오후 2:26,,Ryo,4,,누끼/단독컷 있음,https://images-kr.amoremall.com/products/111410000435/111410000435_01.png?1687935316023,두피케어,,,스타일관리,,훅: 탈모 고민 시작 단계의 샴푸 / 문제: 머리 빠짐이 보이면 샴푸부터 바꾸고 싶어짐 / 각도: 두피 컨디션 루틴 입문 슬롯 / 근거: 려는 국내 한방·탈모 샴푸 대중 인지도가 높음 / 포지션: 입문자 / 대상: 탈모 초기 고민 남성 / 연결: SR26-GR-SC-M1 두피 컨디션 루틴,보통
설화수 윤조에센스,,,,SR26-SK-SA-P110,검수 필요,https://www.sulwhasoo.com,2026년 5월 30일 오후 2:26,,Sulwhasoo,3,,일반 제품컷 있음,https://www.sulwhasoo.com/web/product/big/20260407/254626c475b2a3461674ef02fdbd6d2f.jpg,슬로우에이징,,,피부관리,,훅: 고급 스킨케어를 하나만 고른다면 / 문제: 안티에이징 루틴은 복잡하고 부담스러움 / 각도: 첫 단계 투자형 세럼 슬롯 / 근거: 설화수 윤조에센스는 국내 프리미엄 스킨케어 상징성이 높아 선물·투자 포지션이 명확함 / 포지션: 투자 / 대상: 프리미엄 루틴을 찾는 30대 이상 남성 / 연결: SR26-SK-BR-M1 장벽/보습 루틴,낮음
파나소닉 람대쉬 전기면도기 ES-LV 시리즈,,,,SR26-BD-SH-P110,검수 필요,https://www.panasonic.com/kr,2026년 5월 30일 오후 2:26,,Panasonic,4,,일반 제품컷 있음,https://sitem.ssgcdn.com/36/68/67/item/0000009676836_i1_1200.jpg,체모·면도,,,바디관리,,훅: 바쁜 아침 전기면도기 투자템 / 문제: 습식면도는 시간이 오래 걸리고 상처 위험이 있음 / 각도: 출근 전 빠른 면도 디바이스 슬롯 / 근거: 파나소닉 람대쉬는 전기면도기 프리미엄 라인으로 한국 내 구매·AS 접근성이 있음 / 포지션: 투자 / 대상: 아침 시간이 짧은 남성 / 연결: SR26-BD-SH-M1 면도/애프터케어 루틴,낮음
해리스 트루먼 면도기,,,,SR26-BD-SH-P108,검수 필요,https://www.harrys.com,2026년 5월 30일 오후 2:26,,Harry's,3,,일반 제품컷 있음,https://sitem.ssgcdn.com/47/23/31/item/1000631312347_i1_1200.jpg,체모·면도,,,바디관리,,훅: 디자인 좋은 면도기 입문 / 문제: 욕실에 두는 그루밍 도구도 깔끔해야 손이 감 / 각도: 선물·입문형 면도기 슬롯 / 근거: 해리스는 DTC 면도기 브랜드로 디자인과 구독형 면도 문화 레퍼런스가 강함 / 포지션: 입문자 / 대상: 그루밍 도구를 정리하려는 남성 / 연결: SR26-BD-SH-M1 면도/애프터케어 루틴,낮음
도루코 페이스 7 II 면도기,,,,SR26-BD-SH-P101,검수 필요,https://www.dorcoglobal.com,2026년 5월 30일 오후 2:26,,DORCO,4,,일반 제품컷 있음,https://sitem.ssgcdn.com/67/65/41/item/1000567416567_i1_1100.jpg,체모·면도,,,바디관리,,훅: 국산 면도기 가성비 선택지 / 문제: 면도날 교체 비용이 부담됨 / 각도: 데일리 수염 관리 기본 슬롯 / 근거: 도루코는 국내 면도기 접근성과 가격 경쟁력이 높음 / 포지션: 가성비 / 대상: 매일 면도하는 남성 / 연결: SR26-BD-SH-M1 면도/애프터케어 루틴,보통
닥터포헤어 폴리젠 씨솔트 스케일러,,,,SR26-GR-SC-P108,검수 필요,https://drforhair.co.kr,2026년 5월 30일 오후 2:26,,Dr.FORHAIR,4,,누끼/단독컷 있음,https://sitem.ssgcdn.com/74/22/14/item/1000601142274_i1_1200.jpg,두피케어,,,스타일관리,,훅: 샴푸 전 두피 각질 스케일링 / 문제: 샴푸만으로는 정수리 냄새와 각질이 남음 / 각도: 주 1회 두피 리셋 슬롯 / 근거: 닥터포헤어는 국내 두피 케어 대표 브랜드라 스케일러까지 확장 설명이 쉬움 / 포지션: 피부타입특화 / 대상: 두피 각질·냄새 남성 / 연결: SR26-GR-SC-M1 두피 컨디션 루틴,보통
불독 오리지널 쉐이브 젤,,,,SR26-BD-SH-P107,검수 필요,https://www.bulldogskincare.com,2026년 5월 30일 오후 2:26,,Bulldog Skincare,3,,누끼/단독컷 있음,https://cdn11.bigcommerce.com/s-g585yu857h/images/stencil/1280w/products/14414/25023/163981__90420.1765375333.jpg,체모·면도,,,바디관리,,훅: 폼보다 투명한 젤 면도 / 문제: 수염 라인을 보며 정리하기 어려움 / 각도: 수염 라인 정돈용 쉐이브젤 슬롯 / 근거: 불독은 남성 자연주의 그루밍 이미지와 한국 구매 접근성이 있음 / 포지션: 입문자 / 대상: 콧수염·턱수염 라인 정리 남성 / 연결: SR26-BD-SH-M1 면도/애프터케어 루틴,보통
프로라소 쉐이빙 크림 그린티&오트밀,,,,SR26-BD-SH-P109,검수 필요,https://proraso.com,2026년 5월 30일 오후 2:26,,Proraso,3,,일반 제품컷 있음,https://maggardrazors.com/cdn/shop/products/Proraso-White-Green-Tea-and-Oat-Shaving-Cream-in-Tube_700x700.jpg?v=1616407215,체모·면도,,,바디관리,,훅: 클래식 습식면도의 부드러운 크림 / 문제: 전기면도기만으로는 깔끔함이 부족한 날이 있음 / 각도: 주말 정밀 면도 슬롯 / 근거: 프로라소는 클래식 면도 크림의 대표 브랜드로 면도 루틴 콘텐츠화가 쉬움 / 포지션: 투자 / 대상: 습식면도에 관심 있는 남성 / 연결: SR26-BD-SH-M1 면도/애프터케어 루틴,낮음
아로마티카 로즈마리 스칼프 스케일링 샴푸,,,,SR26-GR-SC-P102,검수 필요,https://aromatica.co.kr,2026년 5월 30일 오후 2:26,,Aromatica,5,,누끼/단독컷 있음,https://img.danuri.io/catalog-image/908/414/072/53dacec35430421c8a82463cf95e5875.jpg?_v=20260529153812&shrink=330%3A%2A,두피케어,,,스타일관리,,훅: 기름진 두피를 리셋하는 로즈마리 샴푸 / 문제: 오후만 되면 정수리 냄새와 유분이 올라옴 / 각도: 두피 스케일링 샴푸 슬롯 / 근거: 아로마티카 로즈마리 라인은 클린뷰티와 두피 케어 키워드로 국내외 인지도가 높음 / 포지션: 밸런스 / 대상: 지성 두피 남성 / 연결: SR26-GR-SC-M1 두피 컨디션 루틴,높음
갸스비 무빙러버 스파이키 엣지,,,,SR26-GR-HR-P101,검수 필요,https://www.gatsbyglobal.com,2026년 5월 30일 오후 2:27,,Gatsby,4,,누끼/단독컷 있음,https://img.danawa.com/prod_img/500000/101/317/img/4317101_1.jpg?_v=20251209061502&shrink=330%3A%2A,헤어스타일링,,,스타일관리,,훅: 짧은 머리용 왁스 입문 / 문제: 왁스를 발라도 금방 가라앉고 떡져 보임 / 각도: 짧은 남자 머리 텍스처 슬롯 / 근거: 갸스비 무빙러버는 남성 왁스 카테고리 대표 제품으로 접근성이 높음 / 포지션: 입문자 / 대상: 짧은 직모 남성 / 연결: SR26-GR-HR-M1 헤어 스타일링 루틴,낮음
올드스파이스 하이 인듀어런스 데오드란트,,,,SR26-BD-BC-P103,검수 필요,https://oldspice.com,2026년 5월 30일 오후 2:27,,Old Spice,4,,일반 제품컷 있음,https://images.ctfassets.net/zyq7p9v19a3t/6EbDQAfhKQe8MB9ILXWv9z/05fb0f0e6fba9bf2f6f4770ac3c74a36/old-spice-high-endurance-pure-sport-deodorant.png,바디케어,,,바디관리,,훅: 땀냄새를 직접 관리하는 데오드란트 / 문제: 향수만으로 체취를 덮으면 더 답답해짐 / 각도: 겨드랑이 체취 관리 슬롯 / 근거: 올드스파이스는 남성 데오드란트 대표 글로벌 브랜드로 체취 루틴 설명이 명확함 / 포지션: 입문자 / 대상: 땀냄새가 고민인 남성 / 연결: SR26-BD-BC-M1 바디냄새/청결 루틴,낮음
해피바스 오리지널 컬렉션 바디워시,,,,SR26-BD-BC-P101,검수 필요,https://www.happybath.com,2026년 5월 30일 오후 2:27,,Happy Bath,3,,누끼/단독컷 있음,https://www.masksheets.com/cdn/shop/products/happy-bath-original-collection-original-body-wash_66c1cc63-7b1e-468f-b90a-2c66f9f362f4.jpg?v=1762469338,바디케어,,,바디관리,,훅: 샤워 루틴의 가장 쉬운 교체 / 문제: 비누만 쓰면 등·팔 피부가 건조해짐 / 각도: 바디워시 입문 기본 슬롯 / 근거: 해피바스는 국내 바디워시 대중 브랜드로 구매 접근성이 높음 / 포지션: 가성비 / 대상: 바디워시를 따로 안 고르는 남성 / 연결: SR26-BD-BC-M1 바디냄새/청결 루틴,보통
데싱디바 글레이즈 세미큐어 젤네일 클리어,,,,SR26-SK-HC-P103,검수 필요,https://dashingdiva.co.kr,2026년 5월 30일 오후 2:27,,DASHING DIVA,2,,일반 제품컷 있음,https://dashingdiva1.cafe24.com/mupe/main/glaze-best-0304.jpg,홈케어,,,위생관리,,훅: 손톱 표면을 깔끔하게 보이는 투명 젤 / 문제: 손톱이 갈라지거나 칙칙하면 손 전체 인상이 거칠어짐 / 각도: 남성용 투명 네일 케어 실험 슬롯 / 근거: 데싱디바는 셀프 네일 시장 인지도가 높고 투명·클리어 제품은 남성 손 관리 콘텐츠에 연결 가능 / 포지션: 입문자 / 대상: 촬영·미팅 전 손톱을 정리하려는 남성 / 연결: SR26-GR-CN-M1 손톱 컨디션 관리,높음
